"","survive","g","max.evolve","g.1","sd"
"X",0,0,NA,0,0
"X.1",0,0.1,Inf,0.1,0
"X.2",0,0.01,Inf,0.01,0
"X.3",0,0,1.07982696692423,0.00392178058493657,0.01
"X.4",0.02,0.1,0.631824387474115,0.0999695601028701,0.01
"X.5",0,0.01,1.11453740080524,0.0107336787060978,0.01
"X.6",0,0,1.12391810685982,0.00789724137264159,0.02
"X.7",0,0.1,0.730918988568277,0.100045115282843,0.02
"X.8",0,0.01,1.127264041097,0.0139506405822735,0.02
"X.9",0,0,1.10540537353997,0.0119201490405996,0.03
"X.10",0,0.1,0.81966841850552,0.100240885127085,0.03
"X.11",0,0.01,1.08015829024091,0.0170928295874569,0.03
"X.12",0,0,1.26996876477428,0.0158054917117664,0.04
"X.13",0.02,0.1,0.774581702692557,0.0997980396091541,0.04
"X.14",0,0.01,1.30704649854298,0.0211445680277948,0.04
"X.15",0.02,0,1.16461548853589,0.0201000958781824,0.05
"X.16",0,0.1,0.996379838703198,0.100326703743253,0.05
"X.17",0,0.01,1.16287758901813,0.024624156164074,0.05
"X.18",0,0,1.24707353289471,0.024135626553871,0.06
"X.19",0,0.1,1.18083590799515,0.101113247413948,0.06
"X.20",0,0.01,1.1346972078074,0.0298614863712264,0.06
"X.21",0,0,1.06445050373229,0.0278262439758978,0.07
"X.22",0,0.1,0.95449208835349,0.1026630957407,0.07
"X.23",0,0.01,1.17273169120406,0.033855952805023,0.07
"X.24",0,0,1.083821739438,0.0325058907101968,0.08
"X.25",0,0.1,0.937110884601597,0.103149298255557,0.08
"X.26",0,0.01,1.13256017028339,0.0368887797723052,0.08
"X.27",0,0,1.04104867444219,0.0359846009471206,0.09
"X.28",0,0.1,1.15660868648023,0.106059883199911,0.09
"X.29",0.02,0.01,1.1919315614825,0.0412198319856359,0.09
"X.30",0,0,1.22708685302226,0.0388396686636769,0.1
"X.31",0,0.1,1.0747591022086,0.106967243909641,0.1
"X.32",0.02,0.01,1.18565694419307,0.0464410596920037,0.1
